id,Rede,Nome,Localizado em,Endereço,Bairro,CEP,Tipo,Latitude,Longitude,geometry
Farmacia_11.101.822,Droga Raia,Droga Raia,Rua,Rua Correggio,Vila Suzana,05630020,Farmacia,-23.541792,-46.310979,POINT (-46.310979 -23.541792)
Farmacia_11.101.849,Nissei,Farmacias Nissei,Rua,Av. dos Jequitibás,Jardim Oriental,04321090,Farmacia,-23.652387,-46.533937,POINT (-46.533937 -23.652387)
Farmacia_11.101.851,Drogasil,Drogasil,Rua,Vila Nova Mazzei,Vila Nova Mazzei,02306002,Farmacia,-22.109489,-49.070391,POINT (-49.070391 -22.109489)
Farmacia_11.101.857,Drogasil,Drogasil,Rua,Av. Itaquera,Jardim Santa Maria,03526000,Farmacia,-23.634216,-46.840634,POINT (-46.840634 -23.634216)
Farmacia_11.101.862,Drogasil,Drogasil,Rua,Rua Alexandre Dumas,Chácara Santo Antônio (zona Sul),04717001,Farmacia,-23.618596,-46.573278,POINT (-46.573278 -23.618596)
Farmacia_11.101.863,Drogasil,Drogasil,Rua,Av. das Nações Unidas,Vila Gertrudes,04794000,Farmacia,-23.779579,-45.358564,POINT (-45.358564 -23.779579)
Farmacia_11.101.872,Drogasil,Drogasil,Rua,R. Parapuã,Itaberaba,02831000,Farmacia,-23.679241,-46.627012,POINT (-46.627012 -23.679241)
Farmacia_11.101.874,Drogaria Sp,Drogaria Sao Paulo,Rua,Av. Sapopemba,Vila Fatima,03988010,Farmacia,-22.690034,-47.656408,POINT (-47.656408 -22.690034)
Farmacia_11.101.876,Drogaria Sp,Drogaria Sao Paulo,Rua,Av. Pires do Rio,Jardim Sao Sebastiao,08041000,Farmacia,-23.61925175,-45.42902405,POINT (-45.42902405 -23.61925175)
Farmacia_11.101.907,Drogasil,Drogasil,Rua,Av. Corifeu de Azevedo Marques,Vila Lageado,05339000,Farmacia,-23.601496,-46.757819,POINT (-46.757819 -23.601496)
Farmacia_11.101.923,Drogasil,Drogasil,Rua,Av. Pires do Rio,Vila Americana,08020000,Farmacia,-22.738712,-47.330784,POINT (-47.330784 -22.738712)
Farmacia_11.101.925,Droga Raia,Droga Raia,Rua,Av. Francisco Matarazzo,A Branca,05001000,Farmacia,-23.633018,-46.515757,POINT (-46.515757 -23.633018)
Farmacia_11.101.939,Bifarma,Bifarma Paulistano,Rua,R. Padre Achilles Silvestre,Jardim Paulistano (zona Norte),02812000,Farmacia,-23.652387,-46.533937,POINT (-46.533937 -23.652387)
Farmacia_11.101.946,Panvel,Panvel Farmacias,Rua,Av. das Nações Unidas,Vila Gertrudes,04794905,Farmacia,-23.779579,-45.358564,POINT (-45.358564 -23.779579)
Farmacia_11.101.952,Drogasil,Drogasil,Rua,Av. Conceição,Vila Paiva,02072002,Farmacia,-23.148619806863348,-45.91120826174804,POINT (-45.91120826174804 -23.148619806863348)
Farmacia_11.101.959,Ultrafarma Popular,Ultrafarma Taquari,Rua,Rua Taquari,Belenzinho,03166001,Farmacia,-23.66252,-46.61706,POINT (-46.61706 -23.66252)
Farmacia_11.101.960,Drogasil,Drogasil,Rua,Av. Raposo Tavares,Jardim Cambara,05576200,Farmacia,-23.533088925090272,-47.142799851470606,POINT (-47.142799851470606 -23.533088925090272)
Farmacia_11.101.967,Drogaria Sp,Drogaria Sao Paulo,Rua,Av. São Miguel,Jardim Cotinha,03870100,Farmacia,-23.652387,-46.533937,POINT (-46.533937 -23.652387)
Farmacia_11.101.990,Farmácias Pague Menos,Farmacia Pague Menos,Rua,Av. Sapopemba,Jardim Adutora,03988000,Farmacia,-23.620798,-46.513838,POINT (-46.513838 -23.620798)
Farmacia_11.102.002,Drogaria Sp,Drogaria Sao Paulo,Rua,Av. Santa Marina,Vila Albertina,02732040,Farmacia,41.049183,15.022306,POINT (15.022306 41.049183)
Farmacia_11.102.008,Ultrafarma Popular,Ultrafarma Popular Jd Pedra Branca,Rua,Estr. Iguatemi,Jardim Pedra Branca,08490500,Farmacia,-23.113974,-48.612917,POINT (-48.612917 -23.113974)
Farmacia_11.102.022,Drogasil,Drogasil,Rua,R. Teresina,Vila Bertioga,03158010,Farmacia,-23.848528,-46.137482,POINT (-46.137482 -23.848528)
Farmacia_11.102.031,Ultrafarma Popular,Ultrafarma Vila Americana,Rua,Av. Pires do Rio,Vila Americana,08020000,Farmacia,-22.738712,-47.330784,POINT (-47.330784 -22.738712)
Farmacia_11.102.041,Drogaria Sp,Drogaria Sao Paulo,Rua,Av. Inconfidência Mineira,Vila Rica,03911000,Farmacia,-23.713904955669733,-46.50375413886464,POINT (-46.50375413886464 -23.713904955669733)
